Player,Season,Pos,WinScore,Efficiency,NBAPER,WNBAPER
NaLyssa Smith,2024,F,6.45,12.225,13.994,16.051
Stephanie Soares,2024,C,1.182,2.136,5.993,5.192
Taylor Soule,2024,F,0.0,0.0,-11.47,-11.314
Azura Stevens,2024,F-C,6.5,11.95,12.319,15.184
Breanna Stewart,2024,F,11.921,23.237,22.814,27.683
Kiah Stokes,2024,C,4.487,5.846,6.863,4.529
Brittney Sykes,2024,G,3.278,10.611,13.103,18.017
Stephanie Talbot,2024,F,2.608,5.568,8.94,9.035
Diana Taurasi,2024,G,4.333,13.194,13.211,15.519
Alyssa Thomas,2024,F,10.1,19.5,16.393,18.837
Kayla Thornton,2024,F,2.6,5.675,8.837,9.949
Brianna Turner,2024,F-C,1.981,3.037,8.196,6.512
Sevgi Uzun,2024,G,0.712,4.7,5.497,6.324
Courtney Vandersloot,2024,G,3.387,9.065,11.216,13.139
Julie Vanloo,2024,G,0.162,6.1,5.418,6.792
Victoria Vivians,2024,G-F,1.186,3.314,6.411,6.77
Shatori Walker-Kimbrough,2024,G,2.4,6.75,10.385,13.16
Kristy Wallace,2024,G,2.192,5.423,9.535,11.242
Erica Wheeler,2024,G,1.115,4.128,7.345,8.32
Sami Whitcomb,2024,G,1.475,4.75,8.394,10.031
Courtney Williams,2024,G,4.75,13.45,12.956,17.513
Elizabeth Williams,2024,C-F,7.778,13.333,16.417,19.626
Gabby Williams,2024,F,6.208,13.333,13.808,16.851
Kiana Williams,2024,G,-0.308,0.308,0.882,2.585
A'ja Wilson,2024,C,17.658,31.026,30.165,38.599
Jackie Young,2024,G,6.176,16.676,15.189,18.154
Li Yueru,2024,C,2.921,6.553,12.066,10.353
Cecilia Zandalasini,2024,F,1.225,4.1,9.462,10.136
Grace Berger,2025,G,1.944,5.778,5.375,4.562
Chloe Bibby,2025,F,2.214,4.643,12.548,14.458
DeWanna Bonner,2025,G-F,5.125,10.531,13.723,16.222
DiJonai Carrington,2025,G-F,2.468,8.548,11.385,12.877
Kaila Charles,2025,G-F,3.758,7.667,12.194,12.607
Alysha Clark,2025,F,2.378,5.439,6.268,5.007
Marquesha Davis,2025,G,-0.227,0.273,1.147,0.331
Aaliyah Edwards,2025,F,2.614,5.714,11.263,11.756
Bree Hall,2025,G,-1.375,-0.75,-14.759,-22.036
Haley Jones,2025,F-G,3.0,8.148,10.279,11.729
Liatu King,2025,F,1.321,3.143,7.941,6.781
Sika Koné,2025,F,0.472,1.667,6.343,2.6
Diamond Miller,2025,F,0.372,3.103,7.139,5.567
Tiffany Mitchell,2025,G,0.423,2.462,5.317,3.748
Shey Peddy,2025,G,2.821,6.571,10.581,11.07
Alissa Pili,2025,F,0.722,2.0,9.02,6.195
Aerial Powers,2025,G,4.056,9.111,15.198,16.776
Jacy Sheldon,2025,G,2.733,7.867,10.197,10.502
Jaylyn Sherrod,2025,G,0.042,1.083,3.401,-0.638
Odyssey Sims,2025,G,2.674,9.87,10.209,11.933
NaLyssa Smith,2025,F,4.186,8.837,11.325,10.618
Brittney Sykes,2025,G,2.289,11.395,11.328,13.001
Stephanie Talbot,2025,F,2.569,5.139,8.58,8.508
Sevgi Uzun,2025,G,-0.348,2.957,2.381,2.105
Julie Vanloo,2025,G,-0.045,2.606,3.537,3.061
Li Yueru,2025,C,3.855,7.677,12.476,12.51
Monique Akoa Makani,2025,G,2.436,8.282,10.433,10.72
Julie Allemand,2025,G,5.576,11.121,10.038,10.576
Lindsay Allen,2025,G,0.583,3.133,5.885,4.693
Rebecca Allen,2025,F-G,1.702,4.69,6.716,8.093
