"Player","Team","Pos","G","MP","GS","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Diamond Miller","MIN","F",21,213,4,21,69,0.304,5,26,0.192,16,43,0.372,14,24,0.583,9,28,37,13,7,1,19,23,61
"Kelsey Mitchell","IND","G",40,1280,38,282,602,0.468,109,271,0.402,173,331,0.523,94,113,0.832,27,72,99,71,27,7,64,63,767
"Tiffany Mitchell","CON","G",24,392,0,38,109,0.349,6,24,0.25,32,85,0.376,36,46,0.783,11,26,37,19,11,1,15,29,118
"Nika Mühl","SEA","G",16,57,0,1,14,0.071,0,11,0.0,1,3,0.333,0,0,"",6,4,10,7,2,0,4,9,2
"Astou Ndour-Fall","CON","C-F",22,92,0,9,26,0.346,2,10,0.2,7,16,0.438,5,6,0.833,2,16,18,1,1,4,3,10,25
"Olivia Nelson-Ododa","CON","C",37,437,0,49,99,0.495,0,0,"",49,99,0.495,27,41,0.659,30,63,93,8,14,21,29,63,125
"Kia Nurse","LAS","G",40,810,27,102,263,0.388,53,160,0.331,49,103,0.476,46,58,0.793,17,47,64,53,19,1,49,72,303
"Arike Ogunbowale","DAL","G",38,1465,38,279,729,0.383,112,324,0.346,167,405,0.412,175,190,0.921,29,144,173,195,81,11,103,107,845
"Nneka Ogwumike","SEA","F",37,1177,37,252,493,0.511,30,74,0.405,222,419,0.53,85,97,0.876,69,211,280,86,69,20,49,84,619
"Michaela Onyenwere","CHI","F",34,636,18,88,212,0.415,25,68,0.368,63,144,0.438,25,41,0.61,19,43,62,33,19,12,43,68,226
"Charisma Osborne","PHO","G",2,10,0,1,2,0.5,0,0,"",1,2,0.5,0,0,"",0,1,1,1,0,0,2,1,2
"Cheyenne Parker-Tyus","ATL","F",25,492,11,83,187,0.444,3,14,0.214,80,173,0.462,62,70,0.886,31,90,121,37,21,9,52,60,231
"Alissa Pili","MIN","F",22,138,0,19,45,0.422,9,27,0.333,10,18,0.556,6,11,0.545,6,21,27,5,5,2,19,29,53
"Kelsey Plum","LVA","G",38,1291,38,232,549,0.423,110,299,0.368,122,250,0.488,103,119,0.866,10,88,98,159,27,1,93,104,677
"Aerial Powers","ATL","G",17,304,2,49,138,0.355,14,36,0.389,35,102,0.343,34,43,0.791,15,41,56,24,16,4,18,35,146
"Angel Reese","CHI","F",34,1104,34,164,419,0.391,3,16,0.188,161,403,0.4,131,178,0.736,172,274,446,63,44,16,75,119,462
"DiDi Richards","WAS","G-F",19,198,7,20,50,0.4,0,4,0.0,20,46,0.435,6,14,0.429,10,19,29,13,2,4,7,15,46
"Mercedes Russell","SEA","C",37,583,6,62,120,0.517,0,0,"",62,120,0.517,21,33,0.636,26,84,110,30,22,9,26,43,145
"Nyara Sabally","NYL","C",26,352,0,50,87,0.575,0,2,0.0,50,85,0.588,28,40,0.7,34,71,105,15,23,19,13,41,128
"Satou Sabally","DAL","F",15,512,15,89,209,0.426,38,84,0.452,51,125,0.408,53,68,0.779,18,78,96,75,19,8,37,48,269
