Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Bria Hartley,CON,G,38,867,32,106,293,0.362,54,147,0.367,52,146,0.356,71,92,0.772,11,64,75,117,29,0,68,95,337
Tiffany Hayes,GSV,G,26,700,24,99,237,0.418,41,101,0.406,58,136,0.426,64,80,0.8,18,82,100,77,14,4,49,58,303
Lexi Held,PHO,G,29,435,0,57,154,0.37,27,88,0.307,30,66,0.455,18,22,0.818,11,21,32,30,23,5,25,36,159
Natisha Hiedeman,MIN,G,41,755,0,134,275,0.487,37,106,0.349,97,169,0.574,43,57,0.754,9,68,77,116,26,7,47,64,348
Naz Hillmon,ATL,F,42,1062,15,130,287,0.453,50,159,0.314,80,128,0.625,49,59,0.831,68,194,262,100,17,19,48,70,359
Myisha Hines-Allen,DAL,F,38,825,18,104,223,0.466,15,52,0.288,89,171,0.52,57,78,0.731,51,166,217,103,30,17,85,95,280
Joyner Holmes,LVA,F,6,29,0,3,12,0.25,1,5,0.2,2,7,0.286,0,0,,2,4,6,0,0,0,2,5,7
Mackenzie Holmes,SEA,F,10,58,0,5,7,0.714,0,0,,5,7,0.714,0,0,,3,6,9,2,5,1,0,7,10
Natasha Howard,IND,F,42,1016,42,191,346,0.552,6,30,0.2,185,316,0.585,85,121,0.702,83,196,279,63,50,25,83,113,473
Rhyne Howard,ATL,G,31,1092,30,175,473,0.37,97,303,0.32,78,170,0.459,97,114,0.851,31,108,139,143,46,26,50,91,544
Lexie Hull,IND,G,42,1143,28,113,284,0.398,54,142,0.38,59,142,0.415,26,36,0.722,61,124,185,73,49,7,40,113,306
Sabrina Ionescu,NYL,G,36,1141,36,223,558,0.4,80,264,0.303,143,294,0.486,150,161,0.932,29,146,175,196,47,16,97,60,676
Kiki Iriafen,WAS,F,42,1133,42,211,431,0.49,2,11,0.182,209,420,0.498,133,167,0.796,112,253,365,65,25,7,89,121,557
Rickea Jackson,LAS,F,36,1130,35,199,467,0.426,63,178,0.354,136,289,0.471,79,94,0.84,37,81,118,61,23,14,77,70,540
Aziaha James,DAL,G,36,631,8,97,263,0.369,30,103,0.291,67,160,0.419,39,52,0.75,32,67,99,58,22,7,34,44,263
Moriah Jefferson,CHI,G,5,35,1,3,8,0.375,1,3,0.333,2,5,0.4,0,0,,0,5,5,9,0,0,2,3,7
Marine Johannes,NYL,G,42,790,5,99,249,0.398,64,186,0.344,35,63,0.556,16,19,0.842,13,71,84,68,24,12,52,45,278
Brionna Jones,ATL,F,42,1133,42,216,408,0.529,12,46,0.261,204,362,0.564,99,128,0.773,133,179,312,93,46,36,63,106,543
Jonquel Jones,NYL,C,29,782,29,144,289,0.498,52,119,0.437,92,170,0.541,64,84,0.762,44,193,237,78,14,32,64,74,404
Elizabeth Kitley,LVA,C,12,98,1,7,23,0.304,0,1,0.0,7,22,0.318,1,2,0.5,4,13,17,1,4,6,7,18,15
Anastasiia Kosu,MIN,F,19,63,0,10,24,0.417,0,1,0.0,10,23,0.435,9,13,0.692,6,4,10,3,1,2,5,6,29
Leïla Lacan,CON,G,24,640,14,100,209,0.478,15,65,0.231,85,144,0.59,30,36,0.833,17,41,58,92,54,4,44,78,245
Kitija Laksa,PHO,G,31,586,5,63,173,0.364,36,115,0.313,27,58,0.466,23,29,0.793,11,27,38,19,12,6,17,42,185
Kyra Lambert,IND,G,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Carla Leite,GSV,G,34,610,6,86,215,0.4,13,72,0.181,73,143,0.51,82,97,0.845,9,38,47,71,24,3,54,54,267
Kyara Linskens,GSV,C,4,27,0,2,5,0.4,0,1,0.0,2,4,0.5,0,0,,1,5,6,1,1,3,2,7,4
Jewell Loyd,LVA,G,41,1160,25,152,393,0.387,86,231,0.372,66,162,0.407,59,70,0.843,48,88,136,80,45,7,52,80,449
Marina Mabrey,CON,G,32,997,31,161,452,0.356,62,229,0.271,99,223,0.444,67,77,0.87,17,120,137,126,21,10,87,94,451
Natasha Mack,PHO,F-C,31,569,20,67,112,0.598,0,4,0.0,67,108,0.62,15,32,0.469,74,110,184,27,29,51,13,52,149
Ezi Magbegor,SEA,F-C,43,1177,43,139,281,0.495,12,46,0.261,127,235,0.54,57,83,0.687,82,181,263,92,29,93,39,123,347
Dominique Malonga,SEA,C,41,578,0,141,256,0.551,4,18,0.222,137,238,0.576,28,48,0.583,52,136,188,35,17,26,47,85,314
Rayah Marshall,CON,C-F,13,80,0,9,24,0.375,0,1,0.0,9,23,0.391,5,10,0.5,6,18,24,4,2,1,6,9,23
Kate Martin,GSV,G,39,649,4,85,253,0.336,57,175,0.326,28,78,0.359,32,41,0.78,17,86,103,38,17,4,33,47,259
Kayla McBride,MIN,G,36,1134,36,172,397,0.433,101,242,0.417,71,155,0.458,93,103,0.903,9,75,84,128,45,2,60,48,538
Megan McConnell,PHO,G,1,13,0,1,4,0.25,1,2,0.5,0,2,0.0,0,0,,1,0,1,3,1,0,0,1,3
Teaira McCowan,DAL,C,17,219,0,36,67,0.537,1,2,0.5,35,65,0.538,22,29,0.759,30,48,78,10,5,12,16,24,95
Aari McDonald,IND,G,20,525,13,66,154,0.429,24,78,0.308,42,76,0.553,40,51,0.784,9,38,47,94,25,3,46,50,196
Emma Meesseman,NYL,F,15,403,12,80,142,0.563,12,18,0.667,68,124,0.548,23,28,0.821,18,60,78,51,19,12,33,24,195
Jade Melbourne,WAS,G,41,966,12,85,216,0.394,26,93,0.28,59,123,0.48,49,73,0.671,17,63,80,116,25,7,68,97,245
Kelsey Mitchell,IND,G,42,1330,42,304,671,0.453,107,273,0.392,197,398,0.495,147,188,0.782,18,58,76,146,37,7,72,86,862
Aneesah Morrow,CON,F,38,691,20,102,267,0.382,16,64,0.25,86,203,0.424,61,76,0.803,74,171,245,20,30,17,41,74,281
Murjanatu Musa,PHO,C,12,122,0,16,35,0.457,1,2,0.5,15,33,0.455,7,11,0.636,18,13,31,7,4,2,7,17,40
Olivia Nelson-Ododa,CON,C,37,800,21,113,215,0.526,1,2,0.5,112,213,0.526,78,111,0.703,60,124,184,34,27,43,40,89,305
Kia Nurse,CHI,G,41,885,17,93,268,0.347,56,168,0.333,37,100,0.37,47,60,0.783,17,78,95,53,14,2,51,69,289
Aaliyah Nye,LVA,G-F,41,615,0,56,156,0.359,35,106,0.33,21,50,0.42,14,17,0.824,15,47,62,19,13,9,26,51,161
Arike Ogunbowale,DAL,G,29,966,29,147,404,0.364,48,158,0.304,99,246,0.402,108,116,0.931,10,62,72,120,39,7,60,74,450
Nneka Ogwumike,SEA,F,43,1327,43,313,604,0.518,66,176,0.375,247,428,0.577,95,114,0.833,57,244,301,99,49,17,84,83,787
Amy Okonkwo,DAL,F,6,113,1,20,41,0.488,5,18,0.278,15,23,0.652,14,16,0.875,3,14,17,6,7,1,5,10,59
Lucy Olsen,WAS,G,39,479,0,61,150,0.407,19,68,0.279,42,82,0.512,14,17,0.824,10,34,44,46,14,4,21,44,155
Michaela Onyenwere,CHI,F,39,626,19,78,188,0.415,20,59,0.339,58,129,0.45,33,40,0.825,15,45,60,46,14,4,48,65,209
Te-Hina PaoPao,ATL,G,41,674,14,91,205,0.444,50,123,0.407,41,82,0.5,7,13,0.538,10,54,64,95,18,8,40,45,239
Robyn Parks,CON,F,6,63,0,1,5,0.2,0,4,0.0,1,1,1.0,0,0,,1,8,9,2,2,0,1,7,2
Haley Peters,CON,F-G,30,360,2,23,77,0.299,6,37,0.162,17,40,0.425,10,13,0.769,23,49,72,24,11,3,21,49,62
Kelsey Plum,LAS,G,40,1417,40,246,575,0.428,92,261,0.352,154,314,0.49,211,235,0.898,9,117,126,232,50,4,124,109,795
Alexis Prince,PHO,F,1,22,0,1,3,0.333,0,1,0.0,1,2,0.5,0,0,,0,8,8,1,0,0,3,1,2
JJ Quinerly,DAL,G,34,539,13,80,188,0.426,21,54,0.389,59,134,0.44,39,45,0.867,18,45,63,78,29,7,52,70,220
Angel Reese,CHI,F,30,947,30,153,334,0.458,4,22,0.182,149,312,0.478,130,172,0.756,123,254,377,111,44,20,118,103,440
Saniya Rivers,CON,G,39,1002,23,126,308,0.409,38,112,0.339,88,196,0.449,43,58,0.741,26,79,105,101,60,35,55,64,333
Iliana Rupert,GSV,C,18,411,8,58,130,0.446,39,85,0.459,19,45,0.422,11,12,0.917,16,48,64,28,9,10,16,44,166
Mercedes Russell,LAS,C,20,163,0,12,27,0.444,0,0,,12,27,0.444,10,14,0.714,10,14,24,12,5,4,7,17,34
Nyara Sabally,NYL,C,15,291,10,35,71,0.493,1,7,0.143,34,64,0.531,17,25,0.68,26,48,74,13,9,16,16,36,88
Satou Sabally,PHO,F,36,967,36,190,482,0.394,60,194,0.309,130,288,0.451,147,176,0.835,49,166,215,91,45,13,73,107,587
Janelle Salaün,GSV,F,33,875,30,133,323,0.412,55,151,0.364,78,172,0.453,44,54,0.815,24,134,158,39,19,3,48,66,365
Karlie Samuelson,MIN,G,16,228,4,14,42,0.333,12,34,0.353,2,8,0.25,13,14,0.929,3,17,20,17,6,1,11,26,53
Madison Scott,WAS,G-F,7,41,0,5,11,0.455,0,1,0.0,5,10,0.5,2,2,1.0,1,0,1,2,2,0,1,6,12
Jessica Shepard,MIN,F,37,745,10,114,181,0.63,0,1,0.0,114,180,0.633,53,96,0.552,80,179,259,96,15,3,54,41,281
Maddy Siegrist,DAL,F,24,652,13,122,248,0.492,25,75,0.333,97,173,0.561,38,56,0.679,47,58,105,18,18,14,13,50,307
Kamiah Smalls,ATL,G,3,3,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Alanna Smith,MIN,F,40,1076,40,157,317,0.495,52,154,0.338,105,163,0.644,27,61,0.443,62,148,210,114,52,75,64,113,393
Azura Stevens,LAS,F-C,41,1166,41,196,401,0.489,71,176,0.403,125,225,0.556,72,92,0.783,70,250,320,87,49,47,63,93,535
Breanna Stewart,NYL,F,29,897,29,174,382,0.455,19,84,0.226,155,298,0.52,161,194,0.83,29,160,189,102,39,40,60,58,528
Kiah Stokes,LVA,C,37,487,18,17,48,0.354,3,21,0.143,14,27,0.519,5,8,0.625,27,113,140,16,16,12,16,47,42
Serena Sundell,DAL,G,3,22,0,0,1,0.0,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,2,4,0
Sug Sutton,WAS,G,41,1071,41,115,267,0.431,41,115,0.357,74,152,0.487,37,48,0.771,8,63,71,161,31,3,79,57,308
Camryn Taylor,MIN,F,4,9,0,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0
Taylor Thierry,ATL,G-F,17,36,0,2,11,0.182,1,3,0.333,1,8,0.125,1,4,0.25,2,4,6,2,4,0,1,1,6
